uname,sex,message,like,uid,location
爱又恬豆单推沐梨,保密,为什么要把星际穿越和流浪地球对立起来呢，到底是哪边的问题呢？正常人多和正常人交流不好吗？为什么非就愿意这边正常粉丝找另一边不正常的人交流，那边正常粉丝找这边不正常的人交流，最后闹的两边正常人都没法沟通了呢？哎,65,38349545,河北
火页集,保密,看近期风向有点担心，可别被刷低分了,46,179750642,山西
Ceresism,保密,其实每次国产出来不错的科幻都拿星际穿越出来比也正表明了星际穿越在大家心中的地位,71,22960319,广东
伍陆壹啊,保密,B站9.9分和其他各大网站的高分已经证明这是一个毋庸置疑的神片了。先说理论基础部分，首先这部片是商业大片，照顾的不仅仅是科幻迷还有非常庞大的普通观影群体，所以影片中很多地方的理论基础只是一带而过，对于普通影迷来说你知道结论就可以了，科幻迷想要刨根问底请继续去观看幕后花絮和基普索恩的《星际穿越》来寻找理论基础，某一星长评，引力重力引力波分不清，逃逸速度分不清，引力弹弓不知道，无非哗众取宠而已；其次本片的重头戏还是描述人的情感思维，博士选择planB是出于私情，曼恩发出假信号是出于私情，以及男主与女儿儿子的感情羁绊，正是这些丰富的情感使我们生而为人，也是我们区别于地球上其他物种的唯一特点；关于宗教和神学的基因影片中确实有很多，比如12这个数字，比如拉撒路计划等等，一是诺兰是西方人，拍这些无可厚非，二是宗教神学和科学可以说是两个极端，以人类目前的科学想解释明白陆地上的所有尚且不能（举例：水这个东西科学界目前解释不了），何论浩瀚宇宙。我个人理解，三维永远无法解释三维的神，因为三维的神来自四维，同理四维；最后说一句，其实对所有事物抱有怀疑态度是非常好的一件事，但是为杠而杠，哗众取宠真是要不得，比如你读了基普索恩的《星际穿越》对其中某些理论保持怀疑（这是一定的，因为关于黑洞里的事情全部来自于猜想）提出一些有理有据的论点，大家都会对你非常崇拜，哇这是来了个大神，反之你连影片都没看完，拽着一两个名词来批判影片中早已说明的事情，只会惹人厌烦。,70,85487418,未知
账号已注销,保密,讲个笑话，比肩星际穿越[doge],115,3.49308E+15,安徽
放荡不羁-动点P,男,第一次看，星际穿越给我一种很强的沧桑感，流浪地球很强但是相比还是缺乏这样的故事性和情感,84,57210233,广东
蔚蓝丶长空,保密,三刷之后对剧情有所改观，其实一开始我也觉得这是个感性大于理性的太空歌剧。仔细想了一下发现理性逻辑还是很严密的，爱只是驱动主角做事的动力，并没有吞噬主角的理智。剧中出现爱相关的关键节点，一个是在太空中星球二选一，女主发表了对爱的看法，然后一通说教被男主理性驳回去了，因此这里剧情是按照理性逻辑走的。接下来一次就到了超立方体中了，这里的剧情其实更严谨一些，因为这里看似主角试图通过各种方法改变过去，其实什么都没有改变，他让自己留下最终也没有留下。他留下的引力信息也并非全靠让人猜，墨菲也不是单纯的靠心电感应就推断出这是他爹的。从一开始剧情就有说，因为引力波动，所有的联合收割机GPS都坏了，甚至一开始的飞机都有可能是因为引力波动而出现的，因此这个屋子就是有问题的。又从后面虫洞信息可知虫洞与引力并非自然形成，而是人力形成的。因此不难判断自家的引力异常也是人力产生。而摩斯电码和坐标其实是人发明的，因此可以合理推断留下信息的其实是人类。STAY这个词因为具有非常强的主观意识，意味着留下信息的人和墨菲男主关系密切。因此对于墨菲来说就不难猜了，并不仅仅是因为爱，爱只是其中一个因素。。,62,13721230,未知
柠阿乐,男,刷你妹的三体，看过三体到处刷，显得你多有文化？看过几本科幻小说？这只能显示你的无知,270,14297144,未知
laogou___,男,怎么夸这部电影？就这么说吧，剧情无敌，演员演技超神，音乐更是无可挑剔的震撼。这部电影上映的时候我还在读高二，在加拿大看的无字幕版没看懂，直到最近看完某球，看到某些人说比星际穿越还牛，就回来用手机看了第二遍。震撼到我隔着一个小小的手机屏幕都感觉像是一块很大的电影屏幕对着我。看电影的时候能感受到自己就在宇宙当中，并且能感受到自身的渺小孤寂和宇宙的宏大。星际穿越无愧为21世纪最棒的科幻电影。,77,6231197,浙江
玲IXF,男,记得2014年，很多黑子起码是认真观看电影后再来黑的，还能说一些土星黑洞，情感大于科幻等一些真实的槽点。现在倒好，扯一些机械降神，爱的设定太扯，肉身穿黑洞这些，但凡看过电影都不会说这些话。更离谱的说这部电影文化输出，政治正确，我真的得笑死,69,1330445151,湖北
我能征服泡沫轴吗,女,一部电影能否成为经典，绝不是辣菜对比经典高分电影就能成的，时间能证明一切。等下映先接受观众5年的反复审判再来吧。,44,339825776,湖南
嗯嗯嗯嗯Ennn,男,想打败星际穿越  只能是拍出完美的三体大电影  不然你拍多少个流浪地球  都没用  两者篇幅的格局深度甚至纬度完全不一样  完全比不了  这是整个科幻史的经典  不是特效变好剧情变燃了爆炸变多了就能超越的,80,616486245,广东
定语爱好者,保密,某些人喜欢的不是科幻，也不喜欢电影，请别来这里碰瓷，要发颠去观网哪里发,66,1829809601,四川
TIE-PILOT,男,当时看完星际穿越以后感觉整个人都被刷新了，也是因为这部电影，开始真正的仰望星空，思考时间带来的无限精彩，这里面所有的特效都是由一个诺贝尔奖级别的团队提供的科学基础和理论指导，那个黑洞其实也是一个真实的黑洞的数据制作出的特效，顺带说一句中信出版社还专门出了一本同名的书来对电影里面的主要科学幻想，模型，理论都做了详细的解释（真的是很厚的一本书）,65,34952783,未知
账号已注销,保密,一个沉淀了九年，被全世界不同地区的科幻粉丝们所共同认同的经典科幻作品，不是某些故步自封的韩国人用JungE就能够碰瓷的。[doge][支持],65,272834748,河南
达尼勾头,保密,一直被碰瓷，从未被超越,65,1870416536,河北
兰斯洛特_7,女,星际穿越和星际拓荒都是我希望能清空记忆重新体验的作品,33,12627701,宁夏
MichaelY98,男,说真的，某些球粉糊涂啊。星际穿越和阿凡达2的粉丝难道不是流浪地球的潜在受众吗？结果把这些电影一顿批判，没准就失去了这部分人的票房，上映第二天就被满江红反超,71,507224426,北京
水星的UO,保密,今年还好有阿凡达和满江红分担了一下火力，否则又是被踩脸的一天,64,439169,广东
风一样的少年_,保密,这片玉米地是导演为了拍摄场景临时买下来种的，拍摄完后玉米卖了还赚了40w刀，真是个鬼才导演,70,336481938,未知
superluckySYu,男,"在讨论去曼恩还是埃德蒙斯的星球时。布兰德提出“爱”这个概念。看到弹幕上说扯，无语之类的，我想说说自己的看法。
“爱”确实在我们现在看来是情感的产物，没有理论依据可以证明它具有规律性可供人类以它为基准做出正确判断。但在我看来，我们现在对于世界认知太渺小了。我相信着“love”这个“物体“可能会在未来对于世界的深入探索之后成为一个“常量”，具有规律性。
仅是个人观点，理性讨论，勿喷。",62,8313615,未知
叫我攻城狮,保密,流浪地球是纯商业电影，星际穿越是文艺片，但是商业获得巨大成功。商业片会加入一些幽默桥段让人捧腹，文艺片全程很严肃，导致有些渴望快餐娱乐的人会看得想睡觉。,228,30288462,广东
爷干翻,男,强烈建议👀第一遍的观众把弹幕关了，b站现在这弹幕太反智了，有带节奏的，还有混淆概念的，好电影还是要有自己的感受，别呗别人的观点牵着鼻子走了，最后男主见女儿居然有弹幕说像美队见佩琪，真的是拉低了这段的观感，这俩完全没法相提并论，意义也不一样，尬的我浑身发抖一下就跳戏了[捂脸],54,22425565,未知
隔壁冷宝,男,说句实话吧，星际穿越配乐吊打了[脱单doge]谁敢质疑,61,649436963,新疆
天星未倦,保密,我只想说，真正喜欢发自内心共情流浪地球系列的人，不会因此无法欣赏其他的优秀作品，也不会拿同样有深度的内核去互相比较，或者说争吵。。。。,40,486572211,福建
狗狗头の猫猫头,保密,[藏狐][藏狐]特意又回来对比一下，总感觉流浪2差点什么，但是我又说不出那个味道，包括特效方面，也差点味道。不过这也是和国外顶级制作对比了，还是支持流浪2的[兔年][兔年][兔年],59,4734330,广西
霍特温,男,#星际穿越#在影院看完以后，我说那个场景很像星际穿越，然后莫名其妙有个人说流浪地球2比星际穿越好多了，我：？？？流浪地球2当然好，但和星际穿越比有点子太自信了。,70,4259998,未知
芜湖憔悴客,男,人工合成淀粉时代考古,57,321980566,未知
只有6枚硬币了啊,男,我死都没有想到星际穿越会有被黑的一天[辣眼睛][捂脸],56,408763920,广东
周美灵是我大姐头,男,不要温和地走进那个良夜,62,29080508,未知
赫奇帕奇都是饭桶,保密,不敢再看第二次的电影...这电影后劲太大了最后海瑟薇演的在那个星球的场景我是真的深切的感受到那种孤独，觉得全宇宙只剩我一个的孤独，一个人向着没有希望的未来走去，那种感觉真是太糟了我看完给抑郁了好几天..,49,96658119,未知
HPCLS,保密,星际穿越的底下怎么一堆来碰瓷的……?,49,392511861,江西
勇敢的PETER,保密,流浪地球一二都是第一时间去电影院支持的，大刘的书也看得很多，但星际穿越始终是我心中第一的科幻电影啊，依然记得当初看到的震撼。,49,106626754,广西
arslan169,保密,"流浪2里面，真的把人想的太美好
面对天灾（外星三体人来了，太阳要完蛋了，人类团结起来，努力求生存）
然后现实情况是，新冠来了，全球一塌糊涂，该破防还是破防，无论撑多久都要破防
就算是拍电影，那也是《不要抬头》这种情况，一个大号陨石，直接gg
老天要你死，那就根本没有奇迹，人类再牛，也不比当年的恐龙牛多少
像《星际穿越》这种，自己作死的，最后人类自我救赎，靠奇迹存活下来，那也是做梦",92,29068594,江苏
可爱的伊蕾娜---,男,"还是想说明一下，星际穿越是近几年出类拔萃的佳作，这是肯定的，你说他是烂片？大刘都给他打了8.5的高分并赞赏他故事很好（注：虽然大刘最喜欢的诺兰作品是盗梦空间）所以大可不必尬黑。                                                                      
但喜欢归喜欢，也不至于尬吹。因为我看到总有人说影史最佳科幻片，事实上星际穿越并不是。而且星际穿越按客观来说也没有载入影史，大概是因为片子对电影的贡献不是很大。就拿月球旅行记来说吧，虽然只是一个短片，剧情现在看起来也很简单，但因为其是历史上第一部科幻片，自然会成为影史前几的科幻片。所以说，片子能否载入影史主要还是依据其开创性，也就是说某方面特别突出的地方。我知道你很喜欢他，但麻烦你下次说他的时候建议改成我最喜欢的科幻片，这样不会招黑，对电影风评也好。",72,1520977103,四川
碧啊呦,女,等我死了，我要搞到一盘《星际穿越》的碟子，和我的骨灰放在一起[给心心],33,95606891,未知
襾只沈罗溪,男,越是知识贫乏，越是有一种莫名其妙的勇气和自信。说的就是下面评论“二指导玩游戏”这个b[藏狐],47,447307809,未知
库伯探长,保密,星际穿越也是把剧情分成两段，但是这两段不割裂，还能做到首尾呼应，流浪地球2真的就好像把两部电影乃至三部拼起来了一样,59,21610165,北京
路人饼干,男,求求你们了，我五级没上过热评[大哭][大哭],401,17842785,未知
lomata-,保密,还得是星际穿越,28,693670867,广西
不和没大会员的人杠,男,弹幕里有人教诺兰拍电影，我特么真是笑了,46,81659984,未知
A沙县国际大酒店代理,保密,我说评论里的。。。踩来踩去有意思吗[疑惑]真正喜欢科幻的人是希望有更多优秀作品出世的，理性思考和分析就行了吧，阴阳骂人的什么素质。。。,46,17460412,江西
_火炎-焱燚_,保密,"为了掩饰自己不懂的尴尬，就开始以自己为认知标准嘲讽他人来获取自我安慰。

其实这是一种心理疾病，不自信.不愿意承认不足，表面上是自尊心问题，实际上这种病症会影响到日常社交和沟通。
建议有此现象的人停止生活中的异常行为，直视不足主动诊断.不要把这种异常当做特殊的个性，祝您早日康复。",56,42943514,未知
二次元中二少女,女,又想起了我初中暑假无聊的时候翻家里的老箱子找到了以前堂姐留在那里的教科书，真的很老旧，我是翻开了一本英语词典的时候看到了里面夹着的一页笔记的，很巧的是，笔记上摘抄的正是这个电影里反复提到的《不要温和地走进那个良夜》，因为很喜欢，我把它摘抄到了自己的优美词句积累本上，现在都还放在老家里。这事儿过去两年后这部电影就上映了，但是我并没有机会观看，也不知道消息，因为上不了网。直到高中一个下午物理老师借了所有的课，给我们放完了这部电影，当时在教室里听到这首诗的时候，周围的人可能无法了解我那种奇特的心情，因为当时打包行李的时候我把那本摘抄本也带上了，而看电影的时候它就静静地躺在我的课桌边上，上午的时候我因为某些事情还打开默读了一遍，所以对我来说，第一次看这部电影时的体验太深刻了,27,13330978,未知
老蚊33,女,跟我一起喊，重映，重映，重映,27,85913512,福建
dummy_666,男,"第一次：看了开头觉得节奏太慢就没看了。
第二次：不记得什么原因看完了，眼泪几乎一直在流，没懂的点是关于虫洞和黑洞还有空间站。
第三次：眼泪还是在流，把电影表达的虫洞黑洞空间站弄懂了，唯一还没懂的就是摩斯电码。
希望出第二部，但又不希望，挺矛盾的。想是因为我想看见库珀和布兰德在那个星球的后续，不想是因为估计如果真的拍了可能达不到第一部的这种感觉且可能成为烂片。",44,43480277,未知
Wake_me_up_哈特,男,总是看这种极高质量的电影导致我对现在的电影一点期待也没有[傲娇][傲娇][傲娇],44,286284435,上海
A系美学资深研究者,女,看这歌我震惊的 真的觉得人家会拍真的不是说说而已的 全方位震撼 太tmd好看了 终于明白为什么痴迷物理 痴迷天空飞行 为什么要去建设更高文明 为什么人类精神文明屹立不倒 什么是科学家的信仰 什么是爱的真谛 为什么咱只会拍煽情不懂事牺牲换来成长的狗血大团圆尴尬瞎逞强桥段 但是人家却拍的一点也不狗血 也让人明白人之所以是人 是因为拥有理性的光辉下感性的爱 真的爱不是繁殖欲望 是一种如此纯粹如此难以量化的东西 我天 是在描述不了 好看死了 什么才是电影啊 太牛逼了 那时候我其实看过一些霍金的纪录片 我要从今天开始看电影 为什么人家都能拍出来这么好看的东西 不争气啊 仨小时的电影 我硬生生看着弹幕看了七八小时 还回味无穷 我感觉我都想去学物理了 我感觉星空天文真的太美了 什么是孤独的宿命 我感觉我想把有关科幻的全看看 😭😭😭 太大的冲动了 尤其国外的动漫电影什么的 真不是说 世界观太强大了 还有叙事 外加bgm 太震撼 美的如果我亲眼所见想死亡的程度,35,341646707,河南
西米露诺诺,男,可能是对流浪地球2期待值太高了，看完以后感觉远没有星际穿越带给我的震撼大…,49,10104533,河北
超炮姐御坂美琴,男,流浪与星际都很好，但我儿子老喜欢踩一捧一。[抠鼻],54,39715165,未知
爱学习的图灵机,男,我翻了一眼评论区 一眼望去我只想说  我国基础教育还是太过薄弱 人口素质还是偏低[嫌弃],68,7469540,未知
寻找自由的风,保密,星际穿越真的满足了我对太空的想象，看整部电影感觉孤独安静，仿佛整个人都能静下心来。看多少遍我都不会腻，它在我心里真的是一部经典了。,26,488088761,河南
RM95,保密,还没看星际穿越，看了球二之后被震撼到决定来这里补补，不过评论里面不怎么友善啊？,26,326175067,湖南
我的读书随记,保密,太好哭了！电影结尾，墨菲让Cooper去找海瑟薇。想想马特达蒙曾经经历过的绝望，海瑟薇是不是也正在经历，那种毫无指望的爱与坚持。一个人在一个星球上，自己的爱人已经死去，她要一个人坚守一个星球，为了全人类，而她很有可能会在这里孤独地死去，但凡还有人性的人，都会感到深深的恐惧吧，所以我从来不觉得马特达蒙是个“坏人”。而Cooper马上要开着飞船去找她了，看到这里这是哭成狗，绝望中的希望啊。,26,416557103,未知
1vvl-lqwq,保密,早年的黑子还是认真看电影的，能发现土星虫洞 黑洞视界里的四维空间，说是神学宗教片。现在的球粉已经无视电影的引力设定开始爱无限了,53,291271791,广西
Miko-N__N-,男,"怎么说呢？看到弹幕的一瞬间就把弹幕关了，现在b站的环境的确太糟糕了。
希望这部电影在某些人心中也有一个重要的位置，至少，对于我而言它的确如此，玩梗归玩笑，但是还是希望大家有经济基础的可以考虑买一本《星际穿越背后的科学》，不是在推书，让所有人都买，只是因为那本书的的确确，是一本极其珍贵的书，至今也仍在我书架上，和另外几本随身带着。在你看完电影几遍后，深读这本书，仔细写上自己的思考，你再回来看intestellar，你会获得你最宝贵的哲理的。
不要以自己浅显的思考评判任何事物，评判任何人，居高临下不会给你任何东西，只会给你一时的快感和了解真相后一世的后悔，但是你倘若的确如此“开朗”，那么我也无从劝告。这就是我要送给现在的b站居民的话，也是送给任何一个没经过脑子思考就发出弹幕的人，一句劝告，你或许是逞一时之快，但一字千金，算算你的观点，在和别人观点碰撞的时候，能挨住几下呢？",53,157053403,辽宁
常盘台舍监,男,"这部电影回味起来，让我最觉得不可思议的地方就是，诺兰轻描淡写的从生活的细微之处写出了人类面临毁灭般灾难的地球世界，真的！
或许放在别的电影里，会用各种镜头、话外音、旁白，用一种极大的尺度画面跟你说：地球要完了，人类要完了。但是这里不一样，到处都是土、空旷的城市，那种人类文明仿佛即将熄灭的烛火的感觉随时环绕着，仿佛渗入深层意识一样，但你就是没法直观看到，太牛了",41,13964335,北京
吸吸里岛人,女,[疑惑][疑惑]有的人是不是有病啊。结尾安妮海瑟薇在新的星球扎的营地是星条旗也要嘴一句？ 本来就是硬科幻的世界观背景、NASA不驻扎他们国家的旗子难道扎我们的？ 反美情绪是不是太敏感了有的破站小鬼,41,1080412120,江苏
好きだ、,保密,电影是好电影，但真不能开弹幕看，什么心情都被民科给毁了。尤其是最后高潮部分，一个个民科比黑洞还了解黑洞，你们是进去过还是怎么？这么了解黑洞内部是什么样就跳出来骂电影如何如何？,52,260861,未知
小杰在么,保密,可笑的是有人居然觉得流浪地球比得过星际，蚂蚁碰大象,1640,471702707,未知
Burnillusions,保密,人生建议；看电影不要开弹幕，特别是高分片。,46,237371018,未知
热心市民张卓,保密,有一说一，在后面那段刷目力的人没妈,51,9145716,未知
当归--,保密,2023/6/4   01：21  第一次看完星际穿越。,25,291613723,四川
小胖墩菲菲,保密,我想抽死自己。刚在国内上映那会我对这种片子不感冒，甚至还鄙视去电影院的人。后来在手机上看完了大为震撼！我是多么羡慕去电影院看过这部片子的人啊！我当时在傲娇什么[笑哭][笑哭][笑哭]我感觉这会成为我一辈子的遗憾[大哭][大哭][大哭],40,667060432,江苏
Ybluetimeless,男,某部小气球2上映以后，我的星际穿越又开始被黑了[大哭]，19年第一部上映的时候就这样,68,434205416,山东
静熙耶,保密,球2好看，星际穿越更好看，个人认为球2值8.7，星穿值9.8，我来这就是为了提醒大家不要被四字粉骗了，亲眼看见微博上一个对立挑拨星穿和球2的，无脑吹球2踩星穿，一查成分四字粉丝，主页甚至还有球2的差评和满江红的豆瓣维分截图（给她们大姐头的），太离谱了,72,362877510,广东
Kqtlt-,男,回过头来看拉撒路行动，根本不是什么逃亡主义，看电影30:16处的拉萨路的解释:“拉萨路病危时没等到耶稣的救治就死了，但耶稣一口断定他将复活……”拉萨路行动从来不是计划A和B二选一，而是先保证B计划实施，而地球的人类不得不先灭绝一次，然后等到B计划的人类发展进化到五维，再去指引A计划的实施，“重新”拯救地球上的人类，就像男主30:22的一句台词“对 起死回生 那就得先死”。电影最后墨菲让男主爸爸去找布兰德，就是去帮布兰德那一支B计划的人类发展到五维文明，从而形成一个闭合的“环”。跟“祖父悖论”什么的我觉得完全不是一回事。总之，人类最终还是靠科学的理性和人文的感性拯救了自己。,50,38325134,未知
没想到吧我又改名了,男,我来说说自己的见解，略含剧透，未观影的朋友绕下路，电影最终的结局是，男女主自土星处的黑洞分开，女主借助反推力脱离黑洞前往其爱人的星球实行B计划（这颗星球的时间线应该和那个全是水的星球类似），最终这颗星球进化出五维高等生物，通过在土星安放黑洞和四维空间的方法指引人类拯救自己。男主则和机器人跌入五维生物为他们安排好的这个四维空间里，利用手表指导女儿完成A计划，最终女儿成功拿到数据，拯救人类，人类通过近百年的努力成功在土星附近建立空间站，科技发展到可以救出黑洞中的男主，最终男主见到女儿，并在女儿的提示下重新登上飞船，去B计划的星球见那个和他在一条时间线上的女主。整体上来说，最后AB计划都成功了，或者说从一开始一切都已经安排好了，人类自己，拯救了自己！,57,7478591,未知
残血反杀猹的闰土,保密,老实说我两部电影都很喜欢，之前球1重映我又去了一遍，14年还是15年老梁故事汇推荐了星际穿越就看了，很震撼，同时我也很期待国内有优秀的科幻片填补上来，但是自1上映后就有人拿着流浪地球踩星际穿越，这次2上映后踩得更多了，本来就是两种价值导向下产生的科幻片，为什么非要在这上面彰显流浪地球的高大上呢？有这种想法的默认u型锁好吧。我真的很不能理解啊，甚至是说星际穿越都被流浪地球爆成渣的论调都有了。[微笑],43,176451579,甘肃
恐怖倒立猿,男,"流浪地球<星际穿越，二者根本不能相提并论。
1、球2中的所有科幻点子在之前的电影都出现过。换句话说，这部电影没有什么创新。最重要的推动地球的卖点不仅在第一部中出现过，而且被电影中的其他元素冲击的七零八落。
2、赛博化不能带来本体的永生，存在的只是克隆意识体。
3、数字飞升了就能避免被太阳吞没了？
4、图恒宇一遍遍造出只能活两分钟的女儿，一遍遍确实挺爱女儿的。
5、很多人吐槽星际穿越靠爱发电，那图恒宇就不是？
6、很多人吐槽星际穿越未来人类机械降神，那球2超级人工智能就不是机械降神？
7、球2是主旋律，星际穿越拯救人类就不是主旋律？主角团、NASA和老教授代表的科研人员将余生都投入到为人类求出路这一事业上不是主旋律？
8、卡冈图雅、虫洞两个经典场面就不多说了。
9、铺垫了一整部电影了父女情，最后在相对论的冰冷铁律下，壮年父亲送别年迈的女儿，这一情节不比球2中的刻意煽情高明吗？",75,59431867,江苏
可爱的CFboy,保密,居然有人觉得地球2能跟这个掰手腕，甚至超越了？[疑惑],55,1725480974,新疆
阿王早睡不熬夜,男,现在离上映刚好过了七年 在那个星球刚好一小时了吧,23,13514366,未知
性感美女锅锅子,女,一直对什么天体物理星际不感兴趣，终于有机会看，看完觉得太牛逼了！！人物之间的感情丰满又很克制。逻辑非常自洽，将近十年前的片子，希望以后还能再出佳作,23,4926780,河南
教宗-沙利Van,男,卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽,102,72928340,未知
APTX4869の,保密,天天比来比去也不嫌累的慌,41,392615879,福建
滨州雀儿,男,看了球2后特地来重温一边，个人感觉星际更浪漫更科“幻”一些，球2更现实更宏观一些，都能让人回味好一会儿,41,12594583,四川
并不想说话-,保密,球2真的别碰瓷，各有各的好okk,41,3291163,云南
unipendix,男,星际穿越在真实度和逻辑自洽方面做得比流浪地球2好不少（毕竟是敢直接放LED拍摄和搭科幻场景的狠导演），但是不可否认流浪地球2的优秀,45,145105575,江苏
La_Ja,保密,在星际穿越下面说不如流浪地球，你们没事吧,35,86524030,广东
碳烤野猪蹄,女,星穿赢太多了好吗，这可是2014年的电影啊,40,15658069,广西
---MarkDog---,保密,球友再这样下去只会变成球p,64,171337567,广东
1vvl-lqwq,保密,一些没文化的带专，不会觉得电影里的一句台词，是真把爱量化了给手表传递信息吧,44,291271791,广西
LikoLikoo,保密,错过了20年重映，还会有下一次重映的机会吗,22,453865481,江西
渡劫期靓仔,保密,一直被碰瓷，从未被超越[吃瓜],39,436918564,湖南
风悠待葬,保密,脚踢星际穿越，手撕阿凡达，这就是球的含金量吗？,39,259060988,海南
Lambert_蓝柏,保密,所以在家里的钟表在不运作的时候，看TA秒针跳动的频率，赶紧拿纸记下来。说不定是来自未来的消息!发现了，你就是救世主!,33,424215412,未知
萨列里的怪邻居,女,上当了，贴吧很多人说吊打星际穿越，我就带了同事去看，现在刚睡醒散场等电梯，就那个，哎哟我真不喜欢这种方式的感情表达，内敛一些吧。前半场仔细看了特效真的很好，到了月球就又还是那种熟悉的味道，然后不小心睡着了。个人意见，不如星际穿越好看，说吊打的狗屁不通。,46,2365163,广东
Kikyou97,保密,电影观后感：电影非常好看，画面极致享受，台词舒服感人，演员演技精湛，剧情合理烧脑，既有理科思维又有文科浪漫，总之很不错的电影，就是只有六分钟，希望这个公司以后把电影做的更长一点。,21,48140585,未知
最初で最後でも,保密,星际穿越，相信又一次在某平台遭受差评潮的你依旧能渡过去，评分继续上升。[打call],37,34680247,广东
百无一用谥书生,男,人要多自卑，才会因他人的作品争吵来彰显自己的审美趣味[tv_白眼],32,8656557,上海
搞耍达人,保密,就这么说，球二确实拍的不错，本人也二刷了，但是星际穿越yyds，诺兰神中神[给心心],32,42033003,湖南
空心的小石子,男,感觉两部电影没有看过就瞎评价的估计不少，对我而言星际穿越依然还是无可超越,32,126020750,福建
1vvl-lqwq,保密,就算把所有的人文情怀抛掉，星际穿越是一部科幻电影之前同时也是一部非常优秀的悬疑电影，它最牛的地方从头到尾悬念带着剧情走，挖的坑够多，填坑脑洞够大。流浪地球系列这种平铺直叙的新闻解说风格，所有人都知道要去目的是什么，怎么解决问题，整个电影就是看个流程，只能算特效很好的灾难片，一个坑都不挖的科幻也能叫科幻吗？,36,291271791,广西
峰哥死亡天涯,保密,现在b站很多人扯球在星际穿越之上的[微笑],24,700815964,江西
端木曦雨,保密,当时和父母看这个的时候很开心的和母亲讲里面自己知道的一些知识，但我妈说这些都是假的是玄学，因为他们听不懂，所以她觉得这些只是我看所谓的课外书（时间简史这种）被洗脑了……我只是想和她分享自己学过的知识而已，因为朋友都不感兴趣，我只能和他们说，但是她却觉得我是被玄学迷信洗脑了……,24,28095565,未知
单身30年会魔法,男,女儿长大了穿的父亲的外套。看了多少遍了才发现！！,31,9265887,未知
攻速大钢矛,男,即便有非常扎实的电影工业基础，在科幻设计特效场景方面仍然保持很大程度克制的作品，这种余力对国内目前的科幻电影工业来说是相当奢侈的。国内科幻影视处在尽全力堆大场景验证视觉特效商业性的阶段，相比过去已经有了0到1的飞跃，但想做出这个层次的作品至少还有十年的基础建设要走,31,33245628,未知
Garry_小力王,女,"对我们来说二维空间就是一张纸，从纸的一端走到另一端最快的方式是把它折起来。
对五维生物来说三维空间也是一张纸，是可以折起来的。
他们不仅可以将三维空间折起来，对他们来说时间也是实体的存在。
根据相对论，黑洞附近的引力太大，时间会变慢，米勒星球1小时等于地球7年。
米勒星球的配乐《Mountains》有密集的滴答声，每滴答一次，地球上就过去了1天。
《星际穿越》的黑洞并不是随便做的，电影上映5年后NASA发布了一张黑洞的效果图，证明了《星际穿越》的黑洞模型是严谨而准确的。 
为了拍玉米地，诺兰真的种了一片玉米，拍完电影卖玉米还赚了钱。
为了拍五维空间，诺兰真的搭了一个五维空间的景。
也许100年后的人们看这部电影会比我们更加感到震撼，因为他们会发现这部电影很多设想都是对的。
奥斯卡欠《星际穿越》一个小金人。",31,283214716,未知
与川川,保密,汉斯·季默的配乐真的太神了[大哭],20,26568626,江西
我能征服泡沫轴吗,女,什么话不多说了什么时候再上线一下，首映和重映都没赶上[微笑]，不过那时候看估计也只能看懂皮毛,20,339825776,湖南
回的114514种写法,男,BVS导剪版来一个好吗，反正腾讯那边版权到期了,39,14699572,未知
英足总,男,这电影最惨的就是埃德蒙斯，一个人在荒无人烟的星球上孤独终老,30,39231575,未知
justitia43,保密,我觉得流浪地球2和星际穿越可以不用比高下，因为从故事上完全就是两个不同的体裁，一个是独立中短篇，所以人物情绪可能更微妙更有深度，一个是史诗+群像速写，更追求壮阔、简练有力。二者都很成功，我都喜欢得要命,59,439263034,河南
雨神LANCER,男,卧槽，诺兰的《敦刻尔克大撤退》也安排上啊[画风突变],34,38587459,未知
巴巴博一土豆雷形态,女,也就是墨菲解出了方程 人类得以延续 然后未来进化到五维的人类又搭建了四维空间让库伯给墨菲发数据吗,29,439942,未知
真顶不住丶,保密,很奇怪的现象 这种评分特别高的电影总有人说吹过了  我就贼好奇到底什么电影算没吹过 特别想看看这些大佬们心中的好电影是啥样的,29,177691486,未知
糖醋里脊第一好,女,看到中间一段气死了，骂女主骂上瘾了。前面你不理解为了数据她的举措，可以。后面没看完就骂，凡事发言动脑子，没看完的不了解的东西，就别像疯子一样开口就骂，素质去哪了。都这么喜欢被打脸吗？,29,1849151,未知
风华1995,保密,别刷别的电影了别刷了求你们，在这么好的电影下面阴阳怪气我一下就火上来了,29,383988066,湖北
明天就改名字,男,来了老弟~~~,51,389064308,未知
欧永居2333,保密,也就是说，最后男主并没有留在空间站，而是前往布兰登的星球上发展计划b了。事实上留在空间站也没有什么事能做，只能说安稳的度过自己的后半生，但是男主并不想这样做，选择新星球实行计划b，然后那批人就是后来的五维生物？我的理解是这样子的。开放性的结局,33,36187525,未知
NormanFFRockwell,保密,真的服了，拍摄手法就决定了电影质量，某球（第一部）的摄影和剧本每环节的衔接度还不如17年前的致命魔术,33,11928973,广东
萌猫毛毛猫萌,保密,那些说流浪地球和星际穿越水平差不多的人是怎么想的？,37,6565574,未知
